#group,false,false,true,true,false,false,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,fstype,host,mode,path
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:14:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:14:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:14:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:15:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:15:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:15:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:15:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:15:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:15:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:16:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:16:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:16:20Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:16:30Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:16:40Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:16:50Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:17:00Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
,,0,2021-06-20T20:40:03.791953062Z,2021-06-20T21:40:03.791953062Z,2021-06-20T21:17:10Z,225204,inodes_free,disk,sda1,ext4,DESKTOP-UBORRPA,rw,/
